Name,*,Boro,2015,2016,2017,2018,2019,2020,2019-2020 Change,,2020 Rank
"138 St-Grand Concourse (4,5)",1,Bx,"3,480","3,532","3,486","3,166","3,324","1,211","-2,113",-63.6%,380
"149 St-Grand Concourse (2,4,5)",,Bx,"14,465","14,460","14,063","13,081","12,960","5,814","-7,146",-55.1%,95
"161 St-Yankee Stadium (B,D,4)",,Bx,"27,020","26,947","26,674","26,034","25,642","10,112","-15,530",-60.6%,41
167 St (4),,Bx,"9,923","9,972","9,466","9,398","8,486","4,357","-4,129",-48.7%,145
"167 St (B,D)",2,Bx,"10,166","10,439","10,223","6,342","8,542","4,405","-4,137",-48.4%,139
170 St (4),,Bx,"9,507","9,514","8,910","8,140","7,926","3,983","-3,943",-49.7%,162
"170 St (B,D)",,Bx,"7,101","7,225","7,089","7,913","6,767","3,127","-3,640",-53.8%,209
"174 St (2,5)",,Bx,"7,619","7,690","7,466","6,751","6,644","3,051","-3,594",-54.1%,214
"174-175 Sts (B,D)",3,Bx,"5,312","5,519","5,475","3,221","4,869","2,496","-2,372",-48.7%,259
176 St (4),,Bx,"6,160","6,378","6,232","5,807","5,518","2,762","-2,756",-49.9%,233
"182-183 Sts (B,D)",,Bx,"5,020","5,177","4,990","4,752","4,773","2,377","-2,396",-50.2%,270
183 St (4),,Bx,"6,372","6,443","6,271","5,754","5,641","2,944","-2,697",-47.8%,222
"219 St (2,5)",,Bx,"3,529","3,423","3,439","3,335","3,232","1,478","-1,754",-54.3%,352
"225 St (2,5)",,Bx,"4,591","4,408","4,340","3,961","3,898","1,774","-2,124",-54.5%,325
231 St (1),,Bx,"9,596","9,749","9,774","10,287","9,658","4,184","-5,475",-56.7%,154
"233 St (2,5)",,Bx,"5,632","5,438","5,138","4,864","4,768","2,348","-2,420",-50.7%,273
238 St (1),4,Bx,"4,068","4,350","4,370","3,225","3,998","1,908","-2,091",-52.3%,313
3 Av-138 St (6),,Bx,"7,994","8,008","8,114","7,801","8,100","4,005","-4,095",-50.6%,161
"3 Av-149 St (2,5)",,Bx,"24,813","24,808","24,228","22,357","22,167","10,187","-11,979",-54.0%,38
"Allerton Av (2,5)",,Bx,"5,779","5,530","5,403","5,144","5,161","2,443","-2,718",-52.7%,264
Baychester Av (5),,Bx,"4,090","4,064","3,846","3,551","3,789","1,666","-2,123",-56.0%,336
"Bedford Park Blvd (B,D)",,Bx,"7,046","7,236","7,066","6,419","6,911","3,099","-3,812",-55.2%,210
Bedford Park Blvd-Lehman College (4),,Bx,"6,040","5,912","5,649","5,170","5,066","2,206","-2,860",-56.5%,289
"Bronx Park East (2,5)",,Bx,"2,868","2,785","2,676","2,498","2,526","1,166","-1,361",-53.9%,384
Brook Av (6),,Bx,"6,244","6,226","6,118","6,040","5,917","3,009","-2,909",-49.2%,217
Buhre Av (6),5,Bx,"2,237","3,568","3,701","3,744","3,898","1,730","-2,168",-55.6%,330
"Burke Av (2,5)",,Bx,"3,644","3,550","3,466","3,234","3,250","1,561","-1,689",-52.0%,344
Burnside Av (4),,Bx,"11,551","11,479","11,079","10,231","9,964","4,629","-5,335",-53.5%,131
Castle Hill Av (6),,Bx,"7,174","6,895","6,756","6,483","6,435","3,037","-3,398",-52.8%,215
Cypress Av (6),,Bx,"3,974","4,099","3,972","3,651","3,462","1,649","-1,813",-52.4%,338
East 143 St-St Mary's St (6),,Bx,989,"1,043",953,"1,019","1,085",567,-517,-47.7%,415
East 149 St (6),,Bx,"4,647","4,861","4,899","4,842","4,821","2,515","-2,306",-47.8%,256
"East 180 St (2,5)",,Bx,"7,587","7,697","7,691","7,175","7,089","3,479","-3,609",-50.9%,182
Eastchester-Dyre Av (5),,Bx,"4,845","4,769","4,647","4,506","4,672","2,168","-2,503",-53.6%,293
Elder Av (6),,Bx,"6,543","6,642","6,605","6,323","6,371","3,278","-3,093",-48.6%,199
Fordham Rd (4),,Bx,"11,982","11,957","11,503","10,395","9,796","4,857","-4,939",-50.4%,123
"Fordham Rd (B,D)",,Bx,"12,145","12,208","12,054","11,361","11,587","5,349","-6,238",-53.8%,108
"Freeman St (2,5)",,Bx,"4,899","5,055","4,984","4,451","4,387","2,048","-2,339",-53.3%,301
"Gun Hill Rd (2,5)",,Bx,"7,790","7,714","7,639","6,930","7,022","3,214","-3,808",-54.2%,205
Gun Hill Rd (5),6,Bx,"5,880","5,886","5,654","5,362","4,287","1,549","-2,738",-63.9%,347
Hunts Point Av (6),,Bx,"10,484","10,651","10,646","10,460","10,510","5,271","-5,239",-49.9%,109
"Intervale Av (2,5)",,Bx,"3,472","3,423","3,377","3,130","3,140","1,521","-1,619",-51.6%,350
"Jackson Av (2,5)",,Bx,"5,705","5,752","5,766","5,288","5,167","2,375","-2,792",-54.0%,271
Kingsbridge Rd (4),,Bx,"10,107","9,998","9,783","8,992","8,849","4,277","-4,571",-51.7%,148
"Kingsbridge Rd (B,D)",,Bx,"8,006","8,144","8,237","7,922","7,957","3,754","-4,203",-52.8%,177
Longwood Av (6),7,Bx,"3,482","3,517","3,518","3,395","3,168","1,267","-1,902",-60.0%,377
Middletown Rd (6),,Bx,"2,726","2,066","2,102","2,036","2,061",873,"-1,188",-57.6%,404
Morris Park (5),,Bx,"2,319","2,487","2,527","2,417","2,520","1,104","-1,416",-56.2%,390
Morrison Av-Soundview (6),,Bx,"6,628","6,755","6,742","6,361","6,341","3,173","-3,168",-50.0%,207
Mosholu Pkwy (4),,Bx,"9,252","9,135","8,770","8,195","8,074","4,070","-4,004",-49.6%,158
Mt Eden Av (4),,Bx,"5,817","5,770","5,512","5,337","5,009","2,625","-2,384",-47.6%,244
"Nereid Av (2,5)",,Bx,"3,817","3,753","3,631","3,437","3,394","1,558","-1,836",-54.1%,345
Norwood-205 St (D),,Bx,"8,640","8,897","8,751","8,429","8,544","4,174","-4,369",-51.1%,155
Parkchester (6),,Bx,"16,572","16,561","16,310","15,660","15,427","7,028","-8,399",-54.4%,72
Pelham Bay Park (6),,Bx,"7,432","7,213","7,185","7,001","7,020","3,094","-3,926",-55.9%,211
"Pelham Pkwy (2,5)",,Bx,"9,774","9,441","9,173","8,472","8,463","3,915","-4,547",-53.7%,167
Pelham Pkwy (5),,Bx,"3,303","3,332","3,237","3,083","3,225","1,427","-1,797",-55.7%,363
"Prospect Av (2,5)",,Bx,"7,908","8,004","7,704","7,038","6,936","3,258","-3,677",-53.0%,200
"Simpson St (2,5)",,Bx,"9,981","9,680","9,446","8,477","8,257","3,914","-4,343",-52.6%,168
St Lawrence Av (6),,Bx,"4,185","4,187","4,196","4,040","4,077","2,002","-2,075",-50.9%,306
"Tremont Av (B,D)",,Bx,"9,980","10,246","10,055","10,398","9,769","4,543","-5,226",-53.5%,133
Van Cortlandt Park-242 St (1),,Bx,"7,338","7,431","7,396","7,742","7,330","3,215","-4,115",-56.1%,204
Wakefield-241 St (2),,Bx,"5,186","5,213","5,129","4,763","4,538","2,284","-2,254",-49.7%,277
"West Farms Sq-East Tremont Av (2,5)",,Bx,"8,010","7,848","7,657","6,866","6,741","3,006","-3,735",-55.4%,218
Westchester Sq-East Tremont Av (6),,Bx,"6,912","6,635","6,479","6,097","6,113","2,770","-3,342",-54.7%,231
Whitlock Av (6),,Bx,"1,737","1,830","1,905","1,894","1,907",977,-930,-48.8%,398
Woodlawn (4),,Bx,"7,637","7,623","7,260","6,937","6,680","3,031","-3,648",-54.6%,216
Zerega Av (6),8,Bx,"1,647","2,629","2,664","2,629","2,676","1,188","-1,489",-55.6%,381
"15 St-Prospect Park (F,G)",,B,"6,385","6,342","6,272","6,136","6,324","2,133","-4,190",-66.3%,295
18 Av (D),,B,"6,242","6,413","6,196","6,136","6,218","2,703","-3,515",-56.5%,237
18 Av (F),,B,"4,458","4,440","4,318","3,947","3,667","1,750","-1,917",-52.3%,327
18 Av (N),9,B,"5,502","2,266","3,107","3,097","3,681","2,089","-1,593",-43.3%,297
20 Av (D),,B,"5,115","5,268","5,009","4,905","5,037","2,216","-2,821",-56.0%,287
20 Av (N),10,B,"4,223","1,348","2,139","3,514","3,692","1,551","-2,142",-58.0%,346
25 Av (D),,B,"4,886","6,507","5,790","5,083","4,877","1,940","-2,937",-60.2%,311
25 St (R),,B,"3,847","3,788","4,547","3,755","3,738","1,618","-2,120",-56.7%,340
"36 St (D,N,R)",,B,"12,810","13,180","13,894","13,493","13,342","6,008","-7,334",-55.0%,88
"4 Av (F,G)/9 St (R)",,B,"13,126","13,116","13,962","12,560","12,563","4,785","-7,778",-61.9%,125
45 St (R),,B,"7,265","7,055","7,877","7,205","7,755","3,371","-4,384",-56.5%,190
50 St (D),,B,"3,220","3,336","3,236","3,195","3,246","1,722","-1,524",-46.9%,331
53 St (R),11,B,"7,458","7,386","3,788","7,565","8,812","4,286","-4,526",-51.4%,147
55 St (D),,B,"2,002","2,223","2,106","2,185","2,141","1,095","-1,046",-48.8%,391
"59 St (N,R)",,B,"13,048","13,144","16,759","12,301","11,240","5,158","-6,082",-54.1%,116
"7 Av (B,Q)",,B,"9,641","9,731","10,270","10,210","10,209","3,282","-6,927",-67.9%,197
"7 Av (F,G)",,B,"12,049","11,897","11,801","11,636","11,880","4,224","-7,656",-64.4%,152
71 St (D),,B,"4,802","6,501","5,905","5,607","5,499","2,280","-3,219",-58.5%,278
77 St (R),,B,"5,608","5,720","6,746","5,612","5,595","2,265","-3,330",-59.5%,282
79 St (D),,B,"6,755","6,973","6,565","6,177","6,225","2,605","-3,620",-58.2%,247
8 Av (N),,B,"11,430","14,201","12,514","11,474","11,608","4,296","-7,312",-63.0%,146
86 St (N),12,B,"2,718","1,298","1,534","1,928","2,224","1,095","-1,130",-50.8%,392
86 St (R),,B,"11,963","12,078","11,742","11,338","11,233","4,890","-6,343",-56.5%,121
9 Av (D),,B,"5,856","5,867","5,471","5,344","5,406","2,522","-2,884",-53.3%,255
Alabama Av (J),,B,"2,520","2,585","2,424","2,147","2,089","1,068","-1,020",-48.9%,394
Atlantic Av (L),13,B,"1,384","1,455","1,821","1,842","1,593",772,-821,-51.5%,408
"Atlantic Av-Barclays Ctr (B,D,N,Q,R,2,3,4,5)",,B,"42,231","42,711","42,095","43,211","43,498","16,599","-26,899",-61.8%,16
Avenue H (Q),,B,"2,994","3,183","3,329","3,418","3,354","1,282","-2,072",-61.8%,375
Avenue I (F),14,B,"2,235","1,962","1,111","1,096","1,988",922,"-1,065",-53.6%,403
Avenue J (Q),,B,"6,009","6,136","6,154","6,058","5,826","2,565","-3,261",-56.0%,251
Avenue M (Q),,B,"5,869","6,052","6,094","6,001","5,678","2,503","-3,176",-55.9%,258
Avenue N (F),15,B,"3,410","3,187","2,217","2,087","2,961","1,389","-1,573",-53.1%,365
Avenue P (F),16,B,"2,804","2,688","1,821","1,710","2,463","1,165","-1,298",-52.7%,385
Avenue U (F),17,B,"2,439","2,578","1,276","1,042","1,838",863,-975,-53.1%,405
Avenue U (N),18,B,"3,894","1,399","2,285","2,627","3,156","1,530","-1,627",-51.5%,348
Avenue U (Q),,B,"6,975","7,384","7,391","7,323","7,262","3,077","-4,185",-57.6%,212
Avenue X (F),19,B,"1,928","2,424","2,508","2,662","2,530","1,173","-1,356",-53.6%,383
Bay 50 St (D),,B,"2,872","3,176","2,926","2,674","2,662","1,117","-1,546",-58.1%,388
Bay Pkwy (D),,B,"7,501","8,069","7,837","7,719","7,723","3,419","-4,304",-55.7%,185
Bay Pkwy (F),20,B,"1,491","1,329",729,623,"1,193",576,-617,-51.7%,414
Bay Pkwy (N),,B,"7,164","10,955","9,328","7,261","6,565","2,881","-3,684",-56.1%,225
Bay Ridge Av (R),21,B,"8,379","8,415","4,173","7,236","7,677","3,243","-4,434",-57.8%,203
Bay Ridge-95 St (R),,B,"6,101","6,090","5,969","5,812","5,847","2,418","-3,429",-58.6%,266
Bedford Av (L),,B,"27,132","27,486","27,783","26,603","25,158","8,679","-16,478",-65.5%,52
Bedford-Nostrand Avs (G),,B,"8,197","8,487","8,741","8,821","8,866","3,289","-5,577",-62.9%,195
"Bergen St (2,3)",,B,"3,823","3,884","3,853","3,653","3,857","1,326","-2,531",-65.6%,369
"Bergen St (F,G)",,B,"11,548","11,529","11,306","11,174","11,310","3,865","-7,444",-65.8%,173
Beverley Rd (Q),,B,"2,894","3,059","3,267","3,350","3,410","1,435","-1,975",-57.9%,360
"Beverly Rd (2,5)",,B,"4,457","4,464","4,384","4,255","4,277","1,947","-2,330",-54.5%,310
"Brighton Beach (B,Q)",,B,"12,794","13,035","12,587","12,065","11,841","5,192","-6,648",-56.1%,113
Broadway (G),,B,"4,011","4,340","4,452","4,467","4,639","2,210","-2,428",-52.4%,288
"Broadway Junction (A,C,J,L,Z)",,B,"9,251","9,189","8,681","8,142","7,813","3,787","-4,026",-51.5%,176
Bushwick Av-Aberdeen St (L),,B,"1,874","2,105","2,112","2,079","2,015",948,"-1,067",-53.0%,401
Canarsie-Rockaway Pkwy (L),,B,"13,481","13,131","12,661","11,947","11,060","4,376","-6,685",-60.4%,143
"Carroll St (F,G)",,B,"11,923","11,848","11,723","11,562","11,814","4,068","-7,746",-65.6%,159
Central Av (M),22,B,"3,715","3,884","1,929","2,393","4,473","1,813","-2,659",-59.5%,321
"Chauncey St (J,Z)",,B,"3,200","3,360","3,408","3,387","3,246","1,436","-1,810",-55.8%,359
"Church Av (2,5)",,B,"9,864","9,808","9,512","9,193","9,556","4,270","-5,286",-55.3%,150
"Church Av (B,Q)",,B,"17,811","17,482","17,186","16,528","16,251","7,029","-9,222",-56.7%,70
"Church Av (F,G)",23,B,"10,490","10,151","9,697","9,492","9,395","4,145","-5,250",-55.9%,156
"Clark St (2,3)",,B,"5,922","5,903","5,635","5,275","5,590","1,741","-3,849",-68.9%,329
Classon Av (G),,B,"4,966","4,996","5,106","5,301","5,453","2,070","-3,383",-62.0%,299
Cleveland St (J),,B,"3,514","3,483","3,270","2,975","2,935","1,381","-1,555",-53.0%,366
Clinton-Washington Avs (C),,B,"6,603","6,932","7,130","7,068","7,139","2,341","-4,798",-67.2%,274
Clinton-Washington Avs (G),,B,"5,364","5,312","5,083","5,025","5,208","1,810","-3,398",-65.2%,322
"Coney Island-Stillwell Av (D,F,N,Q)",,B,"14,073","14,098","13,542","13,203","12,819","5,496","-7,323",-57.1%,104
Cortelyou Rd (Q),,B,"6,220","6,332","6,348","6,276","6,319","2,624","-3,695",-58.5%,245
"Court St (R)/Borough Hall (2,3,4,5)",,B,"38,559","38,089","36,762","35,599","34,939","11,425","-23,515",-67.3%,31
"Crescent St (J,Z)",,B,"5,073","5,053","4,842","4,539","4,463","2,138","-2,325",-52.1%,294
"Crown Heights-Utica Av (3,4)",,B,"28,146","29,069","28,980","25,336","25,331","11,675","-13,656",-53.9%,29
Cypress Hills (J),,B,"1,456","1,501","1,501","1,457","1,474",715,-759,-51.5%,409
"DeKalb Av (B,Q,R)",,B,"17,889","18,774","21,230","22,069","22,000","7,782","-14,218",-64.6%,63
DeKalb Av (L),,B,"12,158","12,307","13,050","12,638","11,214","5,017","-6,197",-55.3%,120
Ditmas Av (F),24,B,"3,386","3,524","3,849","3,904","3,947","1,900","-2,047",-51.9%,314
East 105 St (L),,B,"4,002","4,070","3,999","3,798","3,367","1,605","-1,762",-52.3%,341
"Eastern Pkwy-Brooklyn Museum (2,3)",,B,"4,915","4,719","4,592","4,637","4,036","1,292","-2,744",-68.0%,373
"Euclid Av (A,C)",,B,"11,014","10,870","10,751","10,191","10,119","4,771","-5,347",-52.8%,126
"Flatbush Av-Brooklyn College (2,5)",,B,"21,666","21,268","20,691","19,763","19,572","7,894","-11,679",-59.7%,60
Flushing Av (G),,B,"2,819","2,857","2,866","2,949","2,466","1,330","-1,136",-46.1%,368
"Flushing Av (J,M)",,B,"9,483","9,347","8,952","8,336","8,623","3,939","-4,685",-54.3%,165
Fort Hamilton Pkwy (D),,B,"4,260","4,420","4,162","3,936","3,983","2,008","-1,975",-49.6%,305
"Fort Hamilton Pkwy (F,G)",,B,"5,783","6,044","5,893","5,807","5,877","2,015","-3,862",-65.7%,304
Fort Hamilton Pkwy (N),25,B,"6,964","1,771","3,196","3,232","4,468","2,469","-1,999",-44.7%,262
"Franklin Av (2,3,4,5)/Botanic Garden (S)",,B,"15,866","15,834","15,269","14,581","15,412","5,743","-9,668",-62.7%,96
"Franklin Av (C,S)",,B,"6,468","6,289","6,333","6,358","6,234","2,391","-3,844",-61.6%,268
Fulton St (G),,B,"4,954","5,096","5,364","5,462","5,416","2,235","-3,181",-58.7%,284
"Gates Av (J,Z)",,B,"6,521","6,602","7,110","7,255","7,095","2,951","-4,144",-58.4%,221
Graham Av (L),,B,"10,504","10,483","10,536","9,959","9,346","3,434","-5,913",-63.3%,183
"Grand Army Plaza (2,3)",,B,"7,731","7,735","7,452","7,188","7,349","2,504","-4,844",-65.9%,257
Grand St (L),,B,"7,307","6,977","7,317","6,964","6,409","2,708","-3,701",-57.7%,236
Grant Av (A),,B,"6,696","7,044","6,318","5,896","5,710","2,586","-3,124",-54.7%,249
Greenpoint Av (G),,B,"9,191","9,413","9,648","9,509","10,006","4,113","-5,893",-58.9%,157
Halsey St (J),,B,"6,410","6,490","6,616","6,579","6,522","2,645","-3,877",-59.4%,243
Halsey St (L),,B,"7,932","8,426","8,781","8,386","7,391","3,279","-4,112",-55.6%,198
"Hewes St (J,M)",,B,"2,992","2,866","2,861","2,782","3,281","1,401","-1,880",-57.3%,364
"High St (A,C)",,B,"8,479","8,701","9,215","10,281","10,776","3,136","-7,640",-70.9%,208
"Hoyt St (2,3)",,B,"7,342","7,615","7,637","6,938","7,467","2,765","-4,702",-63.0%,232
"Hoyt-Schermerhorn Sts (A,C,G)",,B,"9,818","9,894","10,319","10,540","11,238","4,401","-6,837",-60.8%,140
"Jay St-MetroTech (A,C,F,R)",,B,"43,456","44,267","43,833","42,274","41,455","13,385","-28,070",-67.7%,23
Jefferson St (L),,B,"7,565","7,639","7,807","7,674","7,221","2,879","-4,341",-60.1%,226
Junius St (3),26,B,"3,043","2,230",970,"2,080","2,216","1,093","-1,123",-50.7%,393
"Kings Hwy (B,Q)",,B,"19,500","20,094","19,975","19,569","19,745","8,454","-11,291",-57.2%,55
Kings Hwy (F),,B,"3,726","4,637","5,186","4,567","3,724","1,708","-2,015",-54.1%,334
Kings Hwy (N),27,B,"5,482","1,489","2,891","3,328","4,363","2,115","-2,248",-51.5%,296
Kingston Av (3),,B,"4,999","4,977","4,703","4,623","4,697","1,958","-2,739",-58.3%,309
Kingston-Throop Avs (C),,B,"6,210","6,350","6,564","6,585","6,643","2,473","-4,169",-62.8%,260
Knickerbocker Av (M),28,B,"4,104","4,228","2,077","2,446","4,522","1,978","-2,544",-56.3%,308
Kosciuszko St (J),,B,"4,927","5,118","6,143","6,144","5,562","2,220","-3,343",-60.1%,286
Lafayette Av (C),,B,"4,849","4,888","4,843","4,889","4,928","1,860","-3,068",-62.3%,319
Liberty Av (C),,B,"2,780","3,020","2,933","2,754","2,749","1,238","-1,511",-55.0%,378
Livonia Av (L),,B,"3,269","3,418","3,264","3,209","2,831","1,467","-1,364",-48.2%,353
"Lorimer St (J,M)",,B,"5,070","5,138","5,161","4,837","5,216","2,170","-3,046",-58.4%,292
Lorimer St (L)/Metropolitan Av (G),,B,"15,131","15,082","14,752","14,299","13,985","5,150","-8,836",-63.2%,117
"Marcy Av (J,M,Z)",,B,"13,276","13,815","13,377","13,315","14,255","5,628","-8,627",-60.5%,99
Montrose Av (L),,B,"7,025","7,007","7,021","6,884","6,515","2,661","-3,854",-59.2%,240
Morgan Av (L),,B,"7,221","7,592","7,769","7,510","6,944","2,732","-4,213",-60.7%,235
"Myrtle Av (J,M,Z)",,B,"11,424","11,801","13,222","12,122","11,970","4,821","-7,149",-59.7%,124
Myrtle-Willoughby Avs (G),,B,"5,783","5,889","5,743","5,736","5,919","2,473","-3,446",-58.2%,261
"Myrtle-Wyckoff Avs (L,M)",,B,"19,490","19,673","22,434","21,241","18,735","8,404","-10,331",-55.1%,56
Nassau Av (G),,B,"9,066","9,150","9,105","9,312","9,841","3,691","-6,150",-62.5%,178
Neck Rd (Q),,B,"4,207","4,354","4,441","4,405","4,401","1,834","-2,568",-58.3%,320
Neptune Av (F),,B,"1,807","1,742","1,658","1,516","1,456",652,-804,-55.2%,413
"Nevins St (2,3,4,5)",,B,"10,896","10,716","10,699","10,426","10,205","3,824","-6,381",-62.5%,174
New Lots Av (3),,B,"7,133","6,855","6,087","5,573","5,454","2,554","-2,900",-53.2%,252
New Lots Av (L),,B,"5,244","5,431","5,290","4,869","4,168","2,020","-2,148",-51.5%,303
New Utrecht Av (N)/62 St (D),29,B,"5,551","5,602","5,217","4,673","4,736","2,264","-2,472",-52.2%,283
"Newkirk Av (2,5)",,B,"8,035","7,840","7,600","7,312","7,182","3,286","-3,896",-54.3%,196
"Newkirk Plaza (B,Q)",,B,"10,864","10,842","10,728","10,534","10,514","4,380","-6,134",-58.3%,142
"Norwood Av (J,Z)",,B,"3,639","3,613","3,437","3,190","3,156","1,447","-1,709",-54.1%,356
Nostrand Av (3),,B,"4,306","4,239","4,066","3,907","4,195","1,568","-2,627",-62.6%,343
"Nostrand Av (A,C)",,B,"17,790","18,231","18,035","17,437","17,352","6,687","-10,665",-61.5%,77
Ocean Pkwy (Q),,B,"3,203","3,211","3,251","3,199","3,242","1,434","-1,808",-55.8%,361
Park Pl (S),,B,"1,922","1,850","1,818","1,725","1,676",682,-994,-59.3%,411
Parkside Av (Q),,B,"5,266","5,524","5,898","6,050","6,173","2,652","-3,521",-57.0%,242
Pennsylvania Av (3),30,B,"6,997","2,485","3,503","4,331","4,493","2,087","-2,406",-53.5%,298
"President St (2,5)",,B,"4,120","4,114","4,113","4,019","3,558","1,444","-2,114",-59.4%,357
Prospect Av (R),31,B,"5,896","5,842","3,199","5,523","5,967","2,222","-3,746",-62.8%,285
"Prospect Park (B,Q,S)",,B,"10,033","9,995","10,234","10,059","10,152","3,902","-6,251",-61.6%,170
Ralph Av (C),,B,"5,796","5,801","5,936","5,768","5,730","2,525","-3,205",-55.9%,254
Rockaway Av (3),32,B,"1,690","5,122","5,642","4,747","4,780","2,294","-2,486",-52.0%,276
Rockaway Av (C),,B,"5,443","5,678","5,715","5,667","5,653","2,434","-3,219",-56.9%,265
Saratoga Av (3),33,B,"8,148","4,006","5,777","5,246","5,238","2,547","-2,691",-51.4%,253
"Sheepshead Bay (B,Q)",,B,"14,304","14,477","14,311","13,946","13,908","5,830","-8,078",-58.1%,94
Shepherd Av (C),,B,"3,370","3,393","3,337","3,182","3,153","1,436","-1,716",-54.4%,358
"Smith-9 Sts (F,G)",,B,"5,084","4,861","4,714","4,689","4,553","1,921","-2,632",-57.8%,312
"Sterling St (2,5)",,B,"5,802","5,806","5,795","5,684","5,468","2,371","-3,097",-56.6%,272
Sutter Av (L),,B,"4,727","4,688","4,471","4,029","3,446","1,583","-1,863",-54.1%,342
Sutter Av-Rutland Rd (3),34,B,"8,031","6,785","3,449","6,657","6,724","3,178","-3,546",-52.7%,206
Union St (R),,B,"6,599","6,512","6,395","6,835","7,375","2,582","-4,793",-65.0%,250
